benchmark kvrocks-topling
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          527.17          ---          ---        19.46656        17.15100        59.90300       132.09500      1075.03 
Gets        52634.09     52631.70         2.39        18.78902        16.76700        55.55100        81.40700    107173.83 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      53161.26     52631.70         2.39        18.79574        16.76700        55.55100        81.91900    108248.87 


Request Latency Distribution
Type     <= msec         Percent
GET      60.927       99.375
GET      61.695       99.414
GET      62.463       99.453
GET      63.231       99.492
GET      64.255       99.531
GET      65.279       99.570
GET      66.559       99.609
GET      67.071       99.629
GET      67.583       99.648
GET      68.095       99.668
GET      69.119       99.688
GET      69.631       99.707
GET      70.655       99.727
GET      71.167       99.746
GET      72.191       99.766
GET      73.215       99.785
GET      74.239       99.805
GET      74.751       99.814
GET      75.263       99.824
GET      76.287       99.834
GET      76.799       99.844
GET      77.311       99.854
GET      78.335       99.863
GET      78.847       99.873
GET      79.871       99.883
GET      80.895       99.893
GET      81.407       99.902
GET      81.919       99.907
GET      82.943       99.912
GET      83.455       99.917
GET      83.967       99.922
GET      84.479       99.927
GET      85.503       99.932
GET      86.015       99.937
GET      87.039       99.941
GET      88.063       99.946
GET      89.087       99.951
GET      89.599       99.954
GET      90.111       99.956
GET      90.623       99.958
GET      91.135       99.961
GET      91.647       99.963
GET      92.159       99.966
GET      93.183       99.968
GET      93.695       99.971
GET      94.719       99.973
GET      95.743       99.976
GET      96.255       99.977
GET      96.767       99.978
GET      97.279       99.979
GET      97.791       99.980
GET      98.303       99.982
GET      98.815       99.983
GET      99.839       99.984
GET     100.351       99.985
GET     101.375       99.987
GET     102.399       99.988
GET     102.911       99.988
GET     103.423       99.989
GET     103.935       99.990
GET     104.447       99.990
GET     105.471       99.991
GET     105.983       99.991
GET     107.007       99.992
GET     108.031       99.993
GET     108.543       99.993
GET     109.567       99.994
GET     110.079       99.994
GET     110.591       99.995
GET     110.591       99.995
GET     111.103       99.995
GET     112.127       99.995
GET     112.639       99.996
GET     113.151       99.996
GET     114.175       99.996
GET     114.687       99.997
GET     115.711       99.997
GET     116.223       99.997
GET     116.735       99.997
GET     117.247       99.997
GET     117.759       99.998
GET     118.783       99.998
GET     119.295       99.998
GET     120.319       99.998
GET     121.343       99.998
GET     121.855       99.998
GET     122.879       99.998
GET     123.391       99.999
GET     123.903       99.999
GET     124.415       99.999
GET     124.927       99.999
GET     125.439       99.999
GET     125.439       99.999
GET     126.463       99.999
GET     126.975       99.999
GET     127.487       99.999
GET     129.023       99.999
GET     129.535       99.999
GET     130.559       99.999
GET     131.071       99.999
GET     132.095       99.999
GET     133.119       99.999
GET     134.143       99.999
GET     134.143      100.000
GET     135.167      100.000
GET     137.215      100.000
GET     137.215      100.000
GET     139.263      100.000
GET     139.263      100.000
GET     141.311      100.000
GET     142.335      100.000
GET     142.335      100.000
GET     144.383      100.000
GET     147.455      100.000
GET     150.527      100.000
GET     159.743      100.000
GET     205.823      100.000
GET     208.895      100.000
GET     216.063      100.000
GET     217.087      100.000
GET     217.087      100.000
GET     218.111      100.000
GET     220.159      100.000
GET     221.183      100.000
GET     224.255      100.000
GET     226.303      100.000
GET     226.303      100.000
GET     228.351      100.000
GET     228.351      100.000
GET     229.375      100.000
GET     232.447      100.000
GET     233.471      100.000
GET     240.639      100.000
GET     242.687      100.000
GET     242.687      100.000
GET     242.687      100.000
GET     242.687      100.000
GET     242.687      100.000
GET     244.735      100.000
GET     245.759      100.000
GET     245.759      100.000
GET     245.759      100.000
GET     245.759      100.000
GET     245.759      100.000
GET     245.759      100.000
GET     245.759      100.000
GET     245.759      100.000
GET     245.759      100.000
GET     245.759      100.000
GET     245.759      100.000
GET     245.759      100.000
GET     245.759      100.000
GET     245.759      100.000
GET     245.759      100.000
GET     245.759      100.000
GET     245.759      100.000
GET     250.879      100.000
GET     250.879      100.000
---
WAIT      0.000      100.000
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
==================================================================================================
Type         Ops/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------
Zadds        5483.42       168.62517       151.55100       419.83900       581.63100     11199.59 
