benchmark kvrocks
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          518.79          ---          ---        19.82097        17.40700        60.92700       134.14300      1057.88 
Gets        51797.27     51794.89         2.38        19.09143        17.02300        56.57500        82.43100    105356.62 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      52316.06     51794.89         2.38        19.09866        17.02300        56.57500        82.94300    106414.50 


Request Latency Distribution
Type     <= msec         Percent
GET      78.335       99.854
GET      79.359       99.863
GET      79.871       99.873
GET      80.895       99.883
GET      81.919       99.893
GET      82.943       99.902
GET      83.455       99.907
GET      83.967       99.912
GET      84.479       99.917
GET      84.991       99.922
GET      86.015       99.927
GET      86.527       99.932
GET      87.039       99.937
GET      88.063       99.941
GET      89.087       99.946
GET      90.111       99.951
GET      90.623       99.954
GET      91.135       99.956
GET      91.647       99.958
GET      92.159       99.961
GET      92.671       99.963
GET      93.695       99.966
GET      94.207       99.968
GET      95.231       99.971
GET      96.255       99.973
GET      96.767       99.976
GET      97.279       99.977
GET      98.303       99.978
GET      98.815       99.979
GET      99.327       99.980
GET      99.839       99.982
GET     100.351       99.983
GET     101.375       99.984
GET     101.887       99.985
GET     102.911       99.987
GET     103.935       99.988
GET     104.447       99.988
GET     104.959       99.989
GET     105.471       99.990
GET     105.983       99.990
GET     106.495       99.991
GET     107.519       99.991
GET     108.031       99.992
GET     109.055       99.993
GET     109.567       99.993
GET     110.591       99.994
GET     111.103       99.994
GET     111.615       99.995
GET     112.127       99.995
GET     113.151       99.995
GET     113.663       99.995
GET     114.687       99.996
GET     115.711       99.996
GET     116.223       99.996
GET     117.247       99.997
GET     118.271       99.997
GET     119.295       99.997
GET     119.807       99.997
GET     120.831       99.997
GET     121.343       99.998
GET     122.367       99.998
GET     122.879       99.998
GET     124.415       99.998
GET     124.927       99.998
GET     126.463       99.998
GET     127.487       99.998
GET     128.511       99.999
GET     129.535       99.999
GET     130.047       99.999
GET     130.559       99.999
GET     132.095       99.999
GET     133.119       99.999
GET     134.143       99.999
GET     134.143       99.999
GET     135.167       99.999
GET     136.191       99.999
GET     136.191       99.999
GET     137.215       99.999
GET     137.215       99.999
GET     138.239       99.999
GET     139.263       99.999
GET     140.287       99.999
GET     141.311      100.000
GET     141.311      100.000
GET     142.335      100.000
GET     142.335      100.000
GET     142.335      100.000
GET     142.335      100.000
GET     143.359      100.000
GET     144.383      100.000
GET     144.383      100.000
GET     145.407      100.000
GET     146.431      100.000
GET     148.479      100.000
GET     148.479      100.000
GET     149.503      100.000
GET     149.503      100.000
GET     150.527      100.000
GET     150.527      100.000
GET     152.575      100.000
GET     154.623      100.000
GET     155.647      100.000
GET     155.647      100.000
GET     156.671      100.000
GET     157.695      100.000
GET     157.695      100.000
GET     157.695      100.000
GET     158.719      100.000
GET     158.719      100.000
GET     159.743      100.000
GET     159.743      100.000
GET     160.767      100.000
GET     160.767      100.000
GET     161.791      100.000
GET     161.791      100.000
GET     162.815      100.000
GET     162.815      100.000
GET     162.815      100.000
GET     162.815      100.000
GET     162.815      100.000
GET     162.815      100.000
GET     162.815      100.000
GET     162.815      100.000
GET     163.839      100.000
GET     163.839      100.000
GET     163.839      100.000
GET     163.839      100.000
GET     168.959      100.000
GET     168.959      100.000
GET     173.055      100.000
GET     173.055      100.000
GET     173.055      100.000
GET     173.055      100.000
GET     173.055      100.000
GET     173.055      100.000
GET     178.175      100.000
GET     178.175      100.000
GET     178.175      100.000
GET     178.175      100.000
GET     193.535      100.000
GET     193.535      100.000
GET     193.535      100.000
GET     193.535      100.000
GET     193.535      100.000
GET     193.535      100.000
GET     193.535      100.000
GET     193.535      100.000
GET     193.535      100.000
GET     193.535      100.000
GET     193.535      100.000
GET     193.535      100.000
GET     193.535      100.000
GET     193.535      100.000
GET     193.535      100.000
GET     193.535      100.000
GET     194.559      100.000
GET     194.559      100.000
---
WAIT      0.000      100.000
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
==================================================================================================
Type         Ops/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------
Zadds        5922.19       156.32444       144.38300       358.39900       483.32700     12096.48 
Totals       5922.19       156.32444       144.38300       358.39900       483.32700     12096.48 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
ZADD      0.751        0.000
ZADD     77.311        5.000
ZADD     88.063       10.000
ZADD     96.255       15.000
ZADD    103.423       20.000
ZADD    110.079       25.000
ZADD    116.735       30.000
ZADD    123.391       35.000
ZADD    130.047       40.000
ZADD    137.215       45.000
ZADD    144.383       50.000
ZADD    148.479       52.500
ZADD    151.551       55.000
ZADD    155.647       57.500
ZADD    159.743       60.000
ZADD    163.839       62.500
ZADD    168.959       65.000
ZADD    173.055       67.500
ZADD    178.175       70.000
ZADD    184.319       72.500
ZADD    189.439       75.000
ZADD    192.511       76.250
ZADD    195.583       77.500
ZADD    198.655       78.750
ZADD    202.751       80.000
ZADD    206.847       81.250
ZADD    210.943       82.500
ZADD    215.039       83.750
ZADD    220.159       85.000
ZADD    225.279       86.250
ZADD    230.399       87.500
ZADD    233.471       88.125
ZADD    236.543       88.750
ZADD    239.615       89.375
ZADD    242.687       90.000
ZADD    245.759       90.625
ZADD    249.855       91.250
ZADD    253.951       91.875
ZADD    258.047       92.500
ZADD    262.143       93.125
ZADD    268.287       93.750
ZADD    270.335       94.062
ZADD    272.383       94.375
ZADD    276.479       94.688
ZADD    278.527       95.000
ZADD    282.623       95.312
ZADD    286.719       95.625
ZADD    288.767       95.938
ZADD    292.863       96.250
ZADD    296.959       96.562
